Ngay,NhapVien,TheoHen,LanDau,RaVien,XinVeNang,TuVong,DangNam,GiuongThuong,GiuongYeuCau,GiuongXep
2026-06-08,11,6,3,9,0,0,50,27,13,10
2026-06-09,13,8,4,10,1,0,53,29,14,10
2026-06-10,10,6,3,11,1,0,52,28,14,10
2026-06-11,12,7,4,10,0,0,54,30,14,10
2026-06-12,9,5,3,8,0,0,55,30,15,10
2026-06-13,11,7,3,9,1,0,57,31,15,11
2026-06-14,10,6,3,10,0,0,57,31,15,11
2026-06-15,8,5,2,9,1,0,56,31,14,11
2026-06-16,13,8,4,10,1,0,59,32,16,11
2026-06-17,11,7,3,9,0,0,61,34,16,11
2026-06-18,12,7,4,10,1,1,63,35,17,11
2026-06-19,10,6,3,11,1,0,62,34,17,11
2026-06-20,13,8,4,9,2,0,66,36,19,11
2026-06-21,10,6,3,8,1,0,68,37,20,11
